Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,geometry
58958331,2023-09-29 23:58:46,,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11205,249 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,09/29/2023 12:00:00 AM,02 BROOKLYN,3019090053.0,BROOKLYN,994968.0,191527.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.692367654657566,-73.9613504708135,"(40.692367654657566, -73.9613504708135)",17212.0,68.0,2.0,48.0,55.0,POINT (994967.9999936484 191527.01439679033)
58965311,2023-09-29 23:53:00,,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11207,339 WYONA STREET,WYONA STREET,BELMONT AVE,SUTTER AVE,,,ADDRESS,BROOKLYN,,,Open,,,,05 BROOKLYN,3037580013.0,BROOKLYN,1014056.0,183562.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.670461855689496,-73.89255367003082,"(40.670461855689496, -73.89255367003082)",17214.0,45.0,2.0,25.0,47.0,POINT (1014055.9999823441 183562.01439161613)
58960082,2023-09-29 23:52:26,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11215,351 5 AVENUE,5 AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09/29/2023 12:00:00 AM,06 BROOKLYN,3009850003.0,BROOKLYN,988664.0,184038.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.671817443107535,-73.98408784729315,"(40.671817443107535, -73.98408784729315)",17617.0,14.0,2.0,27.0,50.0,POINT (988663.9999973791 184038.01439194297)
58962844,2023-09-29 23:49:05,10/04/2023 01:21:30 PM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11211,78 HAVEMEYER STREET,HAVEMEYER STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",10/04/2023 12:00:00 AM,01 BROOKLYN,3023460021.0,BROOKLYN,996643.0,199451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71411498400397,-73.95529577343109,"(40.71411498400397, -73.95529577343109)",17613.0,36.0,2.0,30.0,57.0,POINT (996642.9999926505 199451.0144019304)
58957633,2023-09-29 23:47:00,09/30/2023 12:15:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11364,57-44 229 STREET,229 STREET,57 RD,58 AVE,,,ADDRESS,OAKLAND GARDENS,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 12:15:00 PM,11 QUEENS,4075200042.0,QUEENS,1053478.0,213825.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.75330575318301,-73.7501324133223,"(40.75330575318301, -73.7501324133223)",14506.0,26.0,3.0,16.0,69.0,POINT (1053477.9999588896 213825.01441104396)
58960019,2023-09-29 23:42:41,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10032,629 WEST  173 STREET,WEST  173 STREET,,,,,ADDRESS,NEW YORK,,,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09/29/2023 12:00:00 AM,12 MANHATTAN,1021420130.0,MANHATTAN,1001033.0,247099.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.84488885252728,-73.93934107974908,"(40.84488885252728, -73.93934107974908)",13090.0,47.0,4.0,39.0,21.0,POINT (1001032.9999900063 247099.01443229086)
58966873,2023-09-29 23:38:00,09/30/2023 04:40:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11694,109-34 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,BEACH 109 ST,BEACH 110 ST,,,ADDRESS,FAR ROCKAWAY,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 04:40:00 AM,14 QUEENS,4161660072.0,QUEENS,1031120.0,151166.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.58146791395729,-73.83126548969187,"(40.58146791395729, -73.83126548969187)",20532.0,51.0,3.0,41.0,58.0,POINT (1031119.9999723174 151166.01437029662)
58963762,2023-09-29 23:38:00,09/30/2023 01:00:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11420,,,,,LEFFERTS BOULEVARD,BELT PARKWAY,INTERSECTION,QUEENS,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/30/2023 01:00:00 PM,10 QUEENS,,QUEENS,1033457.0,181574.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66491867378627,-73.82263052827594,"(40.66491867378627, -73.82263052827594)",24016.0,62.0,3.0,41.0,64.0,POINT (1033456.9999708625 181574.01439027739)
58959205,2023-09-29 23:38:00,09/30/2023 12:59:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11218,11 EAST   10 STREET,EAST   10 STREET,CATON AVE,CHURCH AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",09/30/2023 12:59:00 AM,14 BROOKLYN,3050710069.0,BROOKLYN,992409.0,175376.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.648039502907295,-73.97059787328804,"(40.648039502907295, -73.97059787328804)",17620.0,60.0,2.0,11.0,43.0,POINT (992408.9999951724 175376.01438629135)
58963685,2023-09-29 23:32:00,09/30/2023 12:29:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10304,311 GORDON STREET,GORDON STREET,LAUREL AVE,OSGOOD AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",09/30/2023 12:29:00 AM,01 STATEN ISLAND,5005600047.0,STATEN ISLAND,961037.0,164923.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6193215849607,-74.08361539597753,"(40.6193215849607, -74.08361539597753)",10691.0,4.0,1.0,13.0,74.0,POINT (961037.000013726 164923.01437941872)
58963763,2023-09-29 23:29:00,10/02/2023 07:37:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10306,140 HAVEN AVENUE,HAVEN AVENUE,ADAMS AVE,HUNTER AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",10/02/2023 07:37:00 AM,02 STATEN ISLAND,5036790020.0,STATEN ISLAND,956951.0,150217.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57894496994225,-74.09827410955283,"(40.57894496994225, -74.09827410955283)",10693.0,30.0,1.0,14.0,76.0,POINT (956951.0000161217 150217.0143697063)
58963686,2023-09-29 23:29:00,09/30/2023 11:05:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11101,53-32 37 STREET,37 STREET,STARR AVE,REVIEW AVE,,,ADDRESS,LONG ISLAND CITY,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 11:05:00 AM,02 QUEENS,4003110036.0,QUEENS,1001860.0,206747.0,PHONE,Unspecified,QUEENS,,,,,,,,40.73413188413781,-73.93645784274568,"(40.73413188413781, -73.93645784274568)",16858.0,53.0,3.0,33.0,66.0,POINT (1001859.9999895465 206747.01440662376)
